1739,Profil avec prévalidation: la langue associée aux certificats est toujours l'anglais,ndelon,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1742,Validation d'une demande de certificat: incohérence anglais/français,somebody,enhancement,closed,normal,IDX-PKI 3.4 (Paperotta)
1744,Gestion des adresses emails dans l'interface de révocation par lot,somebody,enhancement,closed,normal,IDX-PKI 3.4 (Paperotta)
1745,Révocation de l'admin.p12: aucune demande de certificat n'est possible après !,somebody,defect,closed,normal,IDX-PKI 3.4 (Paperotta)
1756,SCEP: Code de révocation demandé sur l'EE alors qu'il n'y a pas besoin,somebody,enhancement,new,low,IDX-PKI Roadmap
1759,Enrollment automatique SCEP: le passage en mode manuel devrait être loggué,somebody,enhancement,new,normal,IDX-PKI Roadmap
1767,Support d'IE sous Vista,somebody,defect,new,normal,IDX-PKI 3.4 : Maintenance
1771,Profil avec prévalidation: l'opérateur devrait pouvoir choisir la langue de l'utilisateur,somebody,enhancement,new,normal,IDX-PKI Roadmap
1772,Les mails de notification de révocation avec un profil "serveur" sont envoyés de "root@localhost",somebody,defect,new,normal,IDX-PKI 3.4 : Maintenance
1773,Catégories: Yellow message incorrect,somebody,defect,new,normal,IDX-PKI 3.4 : Maintenance
1774,Gestion des groupes: L'interface "Droits d'administration" nécessite deux enregistrements pour être fonctionnelle,somebody,enhancement,new,normal,IDX-PKI 3.4 : Maintenance
